,Consistency,TotalConsistency,Form,Opposition,Venue,DreamTeam
Jonny Bairstow,3.4015,3.4015,3.9047,3.4548,0.8666,1
Manish Pandey,2.6438,3.0125,3.6716,2.9946,3.7116,4
Priyam Garg,1.411,0,0,0,0,0
Wriddhiman Saha,1.6802,2.7103,2.1206,3.9789,2.3104,3
Mohammad Nabi,1.864,1.864,2.1206,0.8606,0.8934,1
Steven Smith,2.6438,3.1921,3.0944,3.549,4.0322,4
Jos Buttler,3.2538,2.7948,3.1398,4.1348,0.8666,1
Sanju Samson,2.6775,2.8118,3.6239,3.703,4.065,5
Robin Uthappa,1.1358,3.3224,2.8848,3.2568,2.1408,1
Riyan Parag,2.162,2.162,2.8776,0.1582,1.4252,0
Rahul Tewatia,2.3458,2.1948,1.9882,2.6024,3.2938,4
Mayank Agarwal,2.5491,2.6775,3.0728,3.7223,3.878,5
KL Rahul,3.6242,3.7526,4.2755,3.9838,3.6746,4
Nicholas Pooran,2.2574,2.2574,2.5468,2.5468,1.0772,2
Glenn Maxwell,2.5924,2.5924,0,3.1156,4.065,1
Karun Nair,2.1948,2.5298,0.9848,1.713,0,0
Sarfaraz Khan,2.621,2.313,3.3038,3.3992,0,0
Devdutt Padikkal,2.621,2.621,0,3.0472,3.455,4
Aaron Finch,2.621,2.497,0,3.0174,4.4272,4
Virat Kohli,4.1977,4.1977,3.8335,3.2012,2.044,1
AB de Villiers,4.183,4.5183,4.1904,4.6275,4.5454,4
Gurkeerat Singh Mann,2.772,1.703,2.772,1.143,0,0
Shivam Dube,1.713,1.713,1.713,1.0116,2.869,2
Washington Sundar,1.8312,1.6802,0.7354,1.2414,2.48,0
Quinton de Kock,2.6438,2.7659,3.7158,4.2597,2.9204,1
Rohit Sharma,3.7509,4.0075,3.2768,3.2796,2.6526,1
Suryakumar Yadav,2.6438,2.4414,3.703,2.6082,1.7272,0
Ishan Kishan,2.162,2.1848,1.8186,2.7278,3.4962,5
Hardik Pandya,2.5696,2.5696,4.1262,4.2246,1.5948,2
Kieron Pollard,3.194,3.194,3.5418,4.3358,4.3216,4
Krunal Pandya,2.5696,2.5696,2.641,2.758,0.2566,0
Shikhar Dhawan,2.6438,3.8042,3.7714,1.6676,2.48,3
Prithvi Shaw,2.3686,2.3686,3.1784,2.9146,0,1
Shreyas Iyer,2.9232,2.9232,3.6076,3.348,0,2
Rishabh Pant,3.3103,3.3103,3.9096,4.0501,0,2
Shimron Hetmyer,0.8338,1.5848,1.9268,3.1982,0,2
Marcus Stoinis,3.1982,2.5882,3.3736,0,0,1
Axar Patel,1.5292,1.904,2.3844,2.9616,1.2742,1
David Warner,3.9592,4.5183,4.4265,4.1848,2.7366,3
Jonny Bairstow,3.4015,3.4015,3.9047,3.1426,0.8666,4
Manish Pandey,2.6438,3.0125,3.6716,4.0308,3.7116,1
Kane Williamson,2.6994,2.6994,2.4514,3.8726,0,3
Steven Smith,2.6438,3.1921,3.0944,3.4464,1.4438,1
Jos Buttler,3.2538,2.7948,3.1398,3.0786,0,2
Sanju Samson,2.6775,2.8118,3.6239,3.2768,1.5948,1
Robin Uthappa,1.1358,3.3224,2.8848,3.0702,3.3124,1
