,Consistency,TotalConsistency,Form,Opposition,Venue,DreamTeam
AB de Villiers,4.183,4.5183,4.1904,4.3486,3.7528,
Shivam Dube,1.713,1.713,1.713,1.562,0,
Chris Morris,0,2.2802,1.0774,2.554,0,
Washington Sundar,1.6802,1.6802,0.7354,2.5654,0,
Chris Gayle,3.4571,4.2617,4.1348,3.7114,0,
Mayank Agarwal,2.6047,2.6775,3.0728,2.3318,3.878,
KL Rahul,3.6242,3.7526,4.2755,4.1485,3.6746,
Nicholas Pooran,2.7392,2.7392,2.5468,2.5654,1.0772,
Glenn Maxwell,2.5924,2.5924,0,2.4828,4.065,
Quinton de Kock,2.6438,2.7659,3.7158,2.2334,3.4863999999999997
Rohit Sharma,3.7509000000000006,4.0075,3.2768,4.4009,4.001
Suryakumar Yadav,2.6438,2.4414000000000002,3.7030000000000003,3.7114000000000003,4.5782
Ishan Kishan,2.1292,2.1848,1.8186,2.7720000000000002,2.1408
Kieron Pollard,3.6202,3.6202,3.5418000000000003,3.2212,4.2674
Hardik Pandya,2.5368,2.5368,4.126200000000001,4.0236,3.8084
Krunal Pandya,2.5696,2.5696,2.641,3.0599999999999996,2.2136
Shubman Gill,2.6766,2.6766,3.5020000000000002,2.4514,4.0196
Rahul Tripathi,2.621,2.2176,2.3004,1.9768000000000001,3.6018000000000003
Nitish Rana,2.2176,2.2176,3.298,2.3958,2.5484
Eoin Morgan,2.162,2.4742,0.0,1.9242000000000001,2.8563999999999994
Dinesh Karthik,2.7948000000000004,3.3224,3.5974000000000004,3.2212,3.4863999999999997
Andre Russell,3.0514,3.0514,4.0364,3.0172,1.6818
Tom Banton,0.9848000000000001,0.9848000000000001,0.0,0.0,0.0
KL Rahul,3.6798,3.7526,4.2755,3.1155999999999997,4.9258
Mayank Agarwal,2.6047000000000002,2.6775,3.0728,2.9646,4.0964
Chris Gayle,3.4571000000000005,4.5183,4.1348,4.417900000000001,2.6123999999999996
Nicholas Pooran,2.7392000000000003,2.7392000000000003,2.5467999999999997,0.15819999999999998,4.0964
Glenn Maxwell,2.5924,2.5596,0.0,1.7415999999999998,2.044
Deepak Hooda,1.0116,1.7358000000000002,1.7202,2.6894,1.0772000000000002
Prithvi Shaw,2.3686000000000003,2.3686000000000003,3.1784000000000003,1.8712000000000002,3.3807999999999994
Shikhar Dhawan,2.9354999999999998,4.0403,3.7714000000000003,3.3124,3.4863999999999997
Shreyas Iyer,2.9232,2.9232,3.6075999999999997,3.7586,3.505
Shimron Hetmyer,2.7164,2.162,1.9268000000000003,0.8338000000000001,1.7004000000000001
Rishabh Pant,3.3103,3.3103,3.9095999999999997,2.4828,3.5704000000000002
Marcus Stoinis,2.7720000000000002,2.5882,3.3736,3.4548,4.288799999999999
Axar Patel,1.6802000000000001,1.9040000000000001,2.3844000000000003,0.9848000000000001,1.4251999999999998
Ravichandran Ashwin,0.8338000000000001,1.753,1.5632,2.1808,1.957
Tushar Deshpande,0.0,0.0,0.0,0.0,0.0
Ruturaj Gaikwad,2.011,2.011,0.0,0.0,3.4179999999999997
Faf du Plessis,2.956,3.0116,3.5020000000000002,3.0145999999999997,3.9454000000000002
Ambati Rayudu,2.8799,3.2691,2.788,3.09,3.1129999999999995
MS Dhoni,4.2076,4.2076,3.9282,4.0736,3.6902
Sam Curran,2.162,2.313,2.504,3.1982000000000004,3.1255999999999995
Narayan Jagadeesan,1.5292,1.5292,0.0,0.0,2.48
Ravindra Jadeja,2.4186,2.899,2.822,3.5918,4.3388
Monu Kumar,0.0,0.0,0.0,0.0,0.0
Shubman Gill,2.6766,2.6766,3.5020000000000002,2.7266,3.0900000000000003
Nitish Rana,2.2176,2.5298,3.298,1.7202,2.2047999999999996
Rahul Tripathi,2.1948,2.2176,2.3004,3.0286,0.0
Dinesh Karthik,2.7948000000000004,3.2896,3.5974000000000004,3.2768,2.9732
Eoin Morgan,2.162,2.4742,0.0,2.3318,1.0772000000000002
Sunil Narine,2.1662000000000003,2.1662000000000003,2.1206,2.6338,1.5947999999999998
Andre Russell,3.0514,2.6252,4.0364,4.0792,2.3558
