,Consistency,TotalConsistency,Form,RecentForm,Opposition,Venue,BatBowl,DreamTeam
Bhuvneshwar Kumar,3.6334,4.2217,3.4147,0.6115,4.4118,1.9448,0,0
Khaleel Ahmed,1.9693,1.9693,3.0934,1.913,2.8233,1.9154,0,0
T Natarajan,1.5166,1.2589,0,1.6043,2.0414,1.9154,0,1
Steven Smith,2.6438,3.1921,3.0944,3.2538,3.549,4.0322,1,1
Jos Buttler,3.2538,2.7948,3.1398,0.8338,4.1348,0.8666,1,0
Sanju Samson,2.6775,2.8118,3.6239,3.2538,3.703,4.065,1,1
Robin Uthappa,1.1358,3.3224,2.8848,1.1358,3.2568,2.1408,1,1
Riyan Parag,2.162,2.162,2.8776,1.0374,0.1582,1.4252,1,0
Rahul Tewatia,2.3458,2.1948,1.9882,2.772,2.6024,3.2938,1,1
Mayank Agarwal,2.5491,2.6775,3.0728,3.4343,3.7223,3.878,1,1
KL Rahul,3.6242,3.7526,4.2755,3.4343,3.9838,3.6746,1,1
Nicholas Pooran,2.2574,2.2574,2.5468,2.1918,2.5468,1.0772,1,1
Glenn Maxwell,2.5924,2.5924,0,1.1358,3.1156,4.065,1,0
Karun Nair,2.1948,2.5298,0.9848,1.864,1.713,0,1,0
James Neesham,0,0,0,0,0,0,1,0
Sarfaraz Khan,2.621,2.313,3.3038,1.562,3.3992,0,1,0
Ravi Bishnoi,0,0,0,0,0,0,1,0
Riyan Parag,0.9385,0.9385,1.5317,0,0,0,0,0
Tom Curran,1.4191,1.7743,0,1.4833,1.3618,2.312,0,1
Jofra Archer,2.1917,2.1917,2.9483,0.9202,2.9724,1.7612,0,0
Shreyas Gopal,2.4122,2.8296,3.6626,0.9202,1.9283,1.7612,0,0
Ankit Rajpoot,1.4191,2.3762,1.4348,1.4833,1.2929,1.7319,0,1
Jaydev Unadkat,1.6763,3.4372,2.7063,0.6115,3.0747,2.5249,0,0
Glenn Maxwell,1.6763,1.6763,0,1.1079,1.1685,0.8584,0,0
James Neesham,1.0987,0,0,1.1079,0,0,0,0
Murugan Ashwin,1.3564,1.934,2.1432,2.155,2.1879,2.1936,0,1
Mohammed Shami,2.2892,2.6148,3.8685,2.4819,3.3122,3.3539,0,1
Sheldon Cottrell,1.9693,1.9693,0,2.4819,1.7484,1.6372,0,0
Ravi Bishnoi,1.8718,0,0,2.3609,0,0,0,0
Devdutt Padikkal,2.621,2.621,0,2.6766,3.0472,3.455,1,1
Aaron Finch,2.621,2.497,0,2.621,3.0174,4.4272,1,1
Virat Kohli,4.1977,4.1977,3.8335,0.9848,3.2012,2.044,1,1
AB de Villiers,4.183,4.5183,4.1904,3.2538,4.6275,4.5454,1,0
Gurkeerat Singh Mann,2.772,1.703,2.772,0,1.143,0,1,0
Shivam Dube,1.713,1.713,1.713,2.2902,1.0116,2.869,1,1
Washington Sundar,1.8312,1.6802,0.7354,2.4144,1.2414,2.48,1,1
Quinton de Kock,2.6438,2.7659,3.7158,1.713,4.2597,2.9204,1,0
Rohit Sharma,3.7509,4.0075,3.2768,2.621,3.2796,2.6526,1,0
Suryakumar Yadav,2.6438,2.4414,3.703,2.0408,2.6082,1.7272,1,0
Ishan Kishan,2.162,2.1848,1.8186,3.1982,2.7278,3.4962,1,1
Hardik Pandya,2.5696,2.5696,4.1262,1.713,4.2246,1.5948,1,0
Kieron Pollard,3.194,3.194,3.5418,3.1982,4.3358,4.3216,1,1
Krunal Pandya,2.5696,2.5696,2.641,0.9848,2.758,0.2566,1,0
Shivam Dube,1.9693,1.9693,0.6115,2.155,0,2.7737,0,1
Washington Sundar,1.5166,2.0315,2.155,1.0412,3.2654,1.9003,0,1
Isuru Udana,1.8718,1.8718,0,2.034,2.1879,2.3328,0,1
Navdeep Saini,1.6763,1.6763,2.8032,1.4348,1.2708,2.5249,0,0
Adam Zampa,1.4191,2.1538,0,1.4833,2.5303,1.7319,0,1
