,Consistency,TotalConsistency,Form,RecentForm,Opposition,Venue,BatBowl,DreamTeam
Ravi Bishnoi,1.0987,1.0987,0,1.7194,0.6354,3.493,0,0
Mohammed Shami,2.2892,2.5173,3.8685,2.7665,2.246,3.7504,0,0
Sheldon Cottrell,1.8718,1.8718,0,2.6455,0.6354,3.3303,0,0
Shane Watson,1.2589,3.5161,0,0,4.0941,0.5801,0,0
Ravindra Jadeja,3.4372,3.8665,3.9654,1.7194,3.5857,4.021,0,1
Dwayne Bravo,3.5104,4.0012,3.1119,0.6115,4.9355,1.4385,0,0
Sam Curran,1.5166,2.057,3.0496,2.2158,0.6354,2.0395,0,0
Shardul Thakur,2.1917,2.6091,2.4217,2.034,3.2875,2.9129,0,1
Piyush Chawla,1.7743,4.5218,2.8032,2.5245,3.9476,3.493,0,1
Deepak Chahar,2.7066,2.4489,4.1531,2.3368,2.246,2.5249,0,1
Devdutt Padikkal,2.621,2.621,0,2.9888,0.9848,3.2854,1,0
Aaron Finch,2.0438,2.497,0,2.3004,3.653,4.4272,1,0
Virat Kohli,4.1977,4.1977,3.8335,2.7266,4.296,2.5358,1,1
AB de Villiers,4.183,4.5183,4.1904,3.5104,4.3914,4.5454,1,0
Moeen Ali,2.3458,2.3458,2.9146,1.411,1.9696,1.4438,1,1
Shivam Dube,1.713,1.713,1.713,1.713,1.713,2.5484,1,0
Washington Sundar,1.8312,1.6802,0.7354,2.1392,2.1206,2.4614,1,0
Prithvi Shaw,2.3686,2.3686,3.1784,3.0842,2.5468,3.5504,1,1
Shikhar Dhawan,2.6438,3.8042,3.7714,2.2974,3.7714,3.2312,1,1
Shreyas Iyer,2.9232,2.9232,3.6076,3.4548,2.9446,2.567,1,0
Rishabh Pant,3.3103,3.3103,3.9096,3.2482,3.653,3.5704,1,1
Shimron Hetmyer,2.1392,1.7358,1.9268,2.1392,1.0116,1.7004,1,0
Marcus Stoinis,3.1982,2.5882,3.3736,3.5104,3.4548,4.0322,1,1
Ravichandran Ashwin,0.9848,1.753,1.5632,0.9848,2.5026,1.7004,1,0
Axar Patel,1.5292,1.904,2.3844,0.9848,3.7428,1.0176,1,1
Moeen Ali,1.6141,1.6141,2.476,2.034,2.63,2.0545,0,1
Shivam Dube,1.9693,1.9693,0.6115,2.155,0.6354,2.7737,0,0
Washington Sundar,1.2589,1.7738,2.155,1.5317,2.2681,2.3413,0,0
Isuru Udana,1.7743,1.7743,0,2.2399,1.5551,2.7738,0,1
Navdeep Saini,1.6763,1.6763,2.8032,1.7194,2.1905,2.6196,0,0
Mohammed Siraj,1.934,2.3147,2.4217,2.155,3.3122,2.4719,0,1
Yuzvendra Chahal,3.5719,3.8353,3.8608,2.7665,4.0941,4.2122,0,0
Marcus Stoinis,1.5166,1.9595,1.5317,1.9312,0.9531,2.1936,0,1
Ravichandran Ashwin,1.9693,4.4603,3.5598,2.155,4.072,3.9104,0,0
Axar Patel,1.7738,3.5161,2.9424,2.2942,4.2406,3.7268,0,1
Harshal Patel,1.7743,2.8725,1.4833,1.4833,1.8039,0.8584,0,0
Kagiso Rabada,2.6327,2.6327,4.0616,3.0857,3.4413,4.0209,0,1
Anrich Nortje,1.8718,1.8718,0,2.6455,2.3344,3.6321,0,1
Rohit Sharma,3.7509,4.0075,3.2768,3.0842,3.1128,4.5782,1,1
Quinton de Kock,2.6438,2.7659,3.7158,2.504,3.767,2.5484,1,1
Suryakumar Yadav,2.6438,2.4414,3.703,2.9302,3.7742,4.5226,1,1
Ishan Kishan,2.1292,2.1848,1.8186,2.5226,1.9268,1.7332,1,0
Hardik Pandya,2.5696,2.5696,4.1262,2.973,3.6558,3.978,1,1
Kieron Pollard,3.6202,3.6202,3.5418,3.4548,3.4278,4.0108,1,0
Krunal Pandya,2.5696,2.5696,2.641,1.9696,1.498,1.5308,1,0
Jos Buttler,3.2538,2.8504,3.1398,2.3458,3.566,3.7528,1,1
Yashasvi Jaiswal,0.952,0.952,0,0.8864,0.1582,0.2566,1,1
Steven Smith,2.6438,3.1921,3.0944,2.658,4.2404,2.259,1,0
Sanju Samson,2.6775,2.8118,3.6239,2.9858,3.224,2.0768,1,0
Mahipal Lomror,1.9882,1.9882,1.4378,1.9882,1.411,2.3432,1,0
Rahul Tewatia,2.3458,2.1948,1.9882,2.6024,1.864,2.6124,1,0
Hardik Pandya,2.6148,2.3514,3.7052,0,2.9945,0,0,0
Kieron Pollard,2.7378,2.7378,0,1.2956,3.8359,2.4511,0,0
Krunal Pandya,2.7123,2.7123,3.5175,1.7194,2.6547,2.5249,0,0
James Pattinson,1.9693,1.9693,0,2.7665,2.3344,3.9104,0,1
Rahul Chahar,2.129,2.129,3.3539,2.6455,2.9698,3.9104,0,0
Trent Boult,1.9693,2.8725,2.2158,2.7665,3.2875,3.7713,0,1
Jasprit Bumrah,3.2527,3.5161,4.1531,3.0857,4.3001,4.601,0,1
Mahipal Lomror,0.6808,0.6808,0,0,0,0,0,0
Rahul Tewatia,1.6141,2.0315,2.034,2.5245,2.6521,1.1602,0,0
Jofra Archer,2.7066,2.7066,2.9483,2.3368,3.6052,2.5902,0,1
Tom Curran,1.0987,1.5793,0,1.7194,1.1685,1.4385,0,0
Shreyas Gopal,2.4122,2.8296,3.6626,1.7194,2.6547,3.052,0,1
Ankit Rajpoot,1.0987,2.1185,1.4348,1.4348,2.8259,0.5801,0,0
Kartik Tyagi,1.4191,0,0,1.4833,0,0,0,0
Shubman Gill,2.6766,2.6766,3.502,2.8962,3.1528,3.4508,1,0
Sunil Narine,2.1106,2.1106,2.1206,0.8864,2.3772,1.7874,1,1
Nitish Rana,2.3686,2.2176,3.298,2.772,1.7202,2.6124,1,0
Andre Russell,3.0514,3.0514,4.0364,1.864,4.0792,1.5948,1,0
Dinesh Karthik,2.7948,3.3224,3.5974,1.0374,3.2768,2.1408,1,0
Eoin Morgan,2.162,2.2176,0,3.1426,2.0752,3.1956,1,0
Rahul Tripathi,2.7164,2.2176,2.3004,2.7164,1.9696,0,1,1
Shivam Mavi,0.952,0.952,0,1.411,0,1.0176,1,0
Shane Watson,3.0768,3.8855,3.1684,2.8776,3.8805,2.3974,1,1
Faf du Plessis,2.956,2.956,3.502,3.566,2.758,3.569,1,1
Ambati Rayudu,2.8799,3.2691,2.788,2.621,3.09,3.6018,1,0
MS Dhoni,3.951,4.2076,3.9282,2.9916,4.0736,2.869,1,1
Kedar Jadhav,1.4338,2.4414,2.138,1.562,2.7394,0,1,0
Ravindra Jadeja,2.4186,2.899,2.822,2.3458,3.5918,1.7272,1,0
Dwayne Bravo,2.4186,2.7308,1.9696,0,3.0702,1.0444,1,0
Sam Curran,2.2902,2.313,2.504,2.2902,1.0672,1.8968,1,0
Sunil Narine,3.7981,4.0615,2.9242,1.2471,3.9008,4.601,0,1
Andre Russell,3.093,2.9955,3.4206,2.155,2.9724,2.4719,0,0
Pat Cummins,0.9385,1.934,0,1.2471,1.8039,1.7612,0,0
Shivam Mavi,1.2589,1.2589,0,2.2399,0.6354,2.6346,0,0
Kamlesh Nagarkoti,1.8718,1.8718,0,2.034,0,0.5801,0,1
Varun Chakravarthy,0,1.7743,0,0,0,2.0101,0,1
Shane Watson,1.2589,3.5161,0,0,3.6078,1.5038,0,0
Ravindra Jadeja,3.4372,3.8665,3.9654,1.7194,4.4492,3.0521,0,0
Dwayne Bravo,3.5104,4.0012,3.1119,0.6115,3.9255,0,0,1
Sam Curran,1.5166,2.057,3.0496,2.2158,0.6354,2.0101,0,1
Shardul Thakur,2.1917,2.6091,2.4217,2.034,2.3149,0,0,1
Piyush Chawla,1.7743,4.5218,2.8032,2.5245,3.7543,3.9104,0,0
Deepak Chahar,2.7066,2.4489,4.1531,2.3368,2.5056,2.4719,0,0
David Warner,3.9592,4.5183,4.4265,2.9332,4.3486,4.3944,1,1
Jonny Bairstow,3.4571,3.4571,3.9047,2.8904,3.1982,4.3216,1,1
Manish Pandey,2.6438,3.2691,3.6716,2.507,3.6274,3.7616,1,0
Kane Williamson,2.6994,2.6994,2.4514,2.973,3.6686,3.7214,1,1
Priyam Garg,2.313,2.313,0,2.504,0.1582,3.3808,1,0
Abhishek Sharma,1.713,1.864,1.1358,1.9696,1.864,2.4428,1,1
Abdul Samad,2.2902,2.2902,0,2.2902,1.1358,2.0024,1,0
KL Rahul,3.6242,3.7526,4.2755,3.6511,3.9282,4.7192,1,0
Mayank Agarwal,2.6047,2.6775,3.0728,3.7465,2.795,4.0964,1,1
Mandeep Singh,2.3858,2.4086,3.663,1.7656,1.6234,2.1862,1,0
Nicholas Pooran,2.7392,2.7392,2.5468,2.9302,3.1982,3.8398,1,1
Glenn Maxwell,2.5924,2.5924,0,1.6676,2.8476,2.044,1,0
Simran Singh,1.713,1.411,0,0,1.562,1.7458,1,0
Ravi Bishnoi,0.8338,0.8338,0,0.8338,0.5586,0.5914,1,0
Abhishek Sharma,1.4191,1.4191,2.034,1.7194,2.0414,2.3328,0,1
Abdul Samad,0.9385,0.9385,0,0.9202,0.6354,1.3647,0,0
Rashid Khan,2.97,2.97,3.9654,3.0934,4.2406,4.2122,0,1
Sandeep Sharma,2.3514,3.8353,2.9483,1.2471,3.2875,2.8032,0,0
Khaleel Ahmed,2.3867,2.3867,3.0934,2.5245,2.6521,3.1912,0,1
T Natarajan,1.5166,1.2589,0,2.5427,2.3344,3.6322,0,1
Glenn Maxwell,1.5161,1.6763,0,0.9202,2.1216,1.7612,0,0
Mujeeb Ur Rahman,1.934,1.934,1.7194,0.6115,2.246,0.8584,0,0
Ravi Bishnoi,1.6141,1.6141,0,2.6637,2.3344,3.9104,0,1
Arshdeep Singh,1.8365,1.7743,1.8102,2.155,2.3591,2.4719,0,1
Mohammed Shami,2.2892,2.5173,3.8685,2.9724,3.6078,3.7504,0,0
Sheldon Cottrell,1.6141,1.6141,0,2.3368,0.6354,3.6322,0,0
Yashasvi Jaiswal,1.3782,1.3782,0,1.3126,2.2634,2.1594,1,1
Jos Buttler,3.2538,3.107,3.1398,2.6024,3.2852,1.4252,1,1
Steven Smith,2.6438,3.1921,3.0944,2.507,3.7114,4.2888,1,1
Sanju Samson,2.6775,2.8118,3.6239,2.5596,2.3844,4.3216,1,0
Mahipal Lomror,1.562,1.562,1.4378,1.562,1.4378,0.8666,1,0
Rahul Tewatia,2.772,2.3458,1.9882,3.0286,2.5654,3.5504,1,1
Prithvi Shaw,2.3686,2.3686,3.1784,2.658,2.5468,3.72,1,0
Shikhar Dhawan,2.6994,3.8042,3.7714,2.7792,3.7714,2.1222,1,0
Shreyas Iyer,2.9232,2.9232,3.6076,3.3038,2.9646,3.7528,1,0
Rishabh Pant,3.3103,3.3103,3.9096,2.822,3.8226,2.6124,1,0
Marcus Stoinis,2.772,2.5882,3.3736,3.0842,2.8292,2.4614,1,1
Shimron Hetmyer,2.7164,2.162,1.9268,2.973,2.1392,3.4976,1,1
Axar Patel,1.6802,1.904,2.3844,1.2868,2.2262,2.1534,1,1
Ravichandran Ashwin,0.8338,1.753,1.5632,0.8338,2.403,0.2566,1,1
Mahipal Lomror,0.6808,0.6808,0,0,0,0,0,0
Rahul Tewatia,1.5166,2.0315,2.034,2.2158,1.9946,3.052,0,1
Andrew Tye,1.4191,3.0141,1.5317,1.4833,2.1905,1.7319,0,0
Jofra Archer,2.7066,2.7066,2.9483,2.9724,2.8233,3.493,0,1
Shreyas Gopal,2.8296,2.8296,3.6626,2.0463,3.141,2.0395,0,0
Kartik Tyagi,1.5166,0,0,1.9312,0,0,0,0
Varun Aaron,1.4191,2.6148,2.5245,0.6115,3.2875,3.052,0,0
Marcus Stoinis,1.8718,2.057,1.5317,2.6455,2.5056,2.6346,0,1
Axar Patel,1.8713,3.5161,2.9424,2.7665,4.0941,3.3303,0,1
Harshal Patel,1.6768,2.7123,1.4833,1.6225,3.2875,2.9129,0,1
Kagiso Rabada,2.6327,2.6327,4.0616,3.4126,2.6521,2.9129,0,1
Anrich Nortje,1.6141,1.6141,0,2.6637,1.8481,3.052,0,0
Ravichandran Ashwin,1.9693,4.4603,3.5598,2.7665,4.0941,2.3622,0,1
KL Rahul,3.6242,3.7526,4.2755,3.6511,3.7086,3.2812,1,1
Mayank Agarwal,2.6047,2.6775,3.0728,3.7465,3.1784,2.9732,1,1
Mandeep Singh,2.3858,2.4086,3.663,1.7656,3.241,0.2566,1,0
Nicholas Pooran,2.7392,2.7392,2.5468,2.9302,2.7164,3.0714,1,1
Simran Singh,1.713,1.411,0,0,0.8338,0.8666,1,0
Glenn Maxwell,2.5924,2.5924,0,1.6676,3.2738,4.266,1,0
Ravi Bishnoi,0.8338,0.8338,0,0.8338,0,0.8666,1,0
Rahul Tripathi,2.621,2.2176,2.3004,2.621,2.1308,3.6018,1,0
Shubman Gill,2.6766,2.6766,3.502,3.2084,3.3594,4.0196,1,1
Nitish Rana,2.2176,2.2176,3.298,2.4514,3.1712,2.5484,1,0
Sunil Narine,2.1106,2.1106,2.1206,1.294,3.2738,2.195,1,1
Eoin Morgan,2.162,2.4742,0,2.822,3.2296,2.8564,1,1
Andre Russell,3.0514,3.0514,4.0364,2.1206,3.5974,1.6818,1,0
Dinesh Karthik,2.7948,3.3224,3.5974,1.9268,3.8668,3.4864,1,1
Glenn Maxwell,1.5161,1.6763,0,0.9202,2.2126,0.5801,0,0
Mujeeb Ur Rahman,1.934,1.934,1.7194,0.6115,1.6106,0.8584,0,0
Chris Jordan,0.6808,1.5421,0,0.9384,1.2929,0.8584,0,0
Ravi Bishnoi,1.6141,1.6141,0,2.6637,1.8481,1.7612,0,1
Mohammed Shami,2.2892,2.5173,3.8685,2.9724,3.0747,2.8921,0,1
Arshdeep Singh,1.8365,1.7743,1.8102,2.155,1.1685,2.0101,0,1
Sunil Narine,3.7981,4.3249,2.9242,1.9071,5.0298,4.9028,0,1
Andre Russell,3.093,2.9955,3.4206,2.6455,4.4713,2.7737,0,0
Pat Cummins,0.9385,1.6763,0,1.8586,2.1658,2.6196,0,0
Kamlesh Nagarkoti,1.2589,1.2589,0,1.9071,0.6354,1.7612,0,1
Prasidh Krishna,1.7993,1.7993,2.1432,2.155,2.8233,2.4719,0,1
Varun Chakravarthy,0,1.2589,0,0,0.6354,2.5249,0,0
Shane Watson,2.9258,3.8855,3.1684,2.9332,2.9718,3.5192,1,0
Faf du Plessis,2.956,2.956,3.502,3.566,3.4464,3.9454,1,0
Ambati Rayudu,2.8799,3.2691,2.788,2.621,3.4436,3.113,1,1
MS Dhoni,3.951,4.2076,3.9282,2.822,4.3914,3.6902,1,1
Narayan Jagadeesan,2.4144,2.4144,0,2.4144,2.4144,2.48,1,1
Sam Curran,1.8312,2.313,2.504,2.0222,0.7354,2.41,1,0
Ravindra Jadeja,2.4186,2.899,2.822,2.6024,2.5884,3.656,1,0
Dwayne Bravo,2.4186,2.7308,1.9696,1.4378,2.6966,1.4706,1,0
Devdutt Padikkal,2.621,2.621,0,2.9888,2.2634,3.9682,1,1
Aaron Finch,2.0438,2.497,0,2.3004,2.289,4.001,1,0
Virat Kohli,4.1977,4.1977,3.8335,3.3594,4.296,3.9454,1,1
AB de Villiers,4.183,4.5183,4.1904,3.4676,3.5555,4.5782,1,0
Gurkeerat Singh Mann,2.772,1.703,2.772,0,1.7202,0,1,0
Shivam Dube,1.713,1.713,1.713,2.5468,2.1392,3.3822,1,1
Chris Morris,0,2.2802,1.0774,0,1.7656,0,1,1
Washington Sundar,1.6802,1.6802,0.7354,1.562,2.2902,2.1408,1,1
Shane Watson,1.2589,3.5161,0,0,3.7543,0.5801,0,0
Sam Curran,1.7743,2.2172,3.0496,2.8514,1.2929,2.6196,0,0
Ravindra Jadeja,3.4372,3.8665,3.9654,1.5317,4.4118,4.1392,0,0
Dwayne Bravo,3.5104,4.0012,3.1119,1.4348,3.5857,2.0186,0,0
Shardul Thakur,2.1917,2.6091,2.4217,2.4819,2.9945,3.493,0,1
Deepak Chahar,2.4489,2.4489,4.1531,2.355,2.2681,3.1259,0,1
Karn Sharma,1.7743,2.8968,1.792,1.7253,2.9724,2.3413,0,0
Shivam Dube,1.9693,1.9693,0.6115,2.155,0.6354,3.052,0,1
Chris Morris,1.9693,3.1545,2.9724,2.155,3.2875,3.052,0,1
Washington Sundar,2.0315,2.0315,2.155,2.2701,2.3344,4.0286,0,1
Isuru Udana,1.7743,1.7743,0,2.5245,1.7016,3.6322,0,0
Navdeep Saini,1.6763,1.6763,2.8032,2.0463,1.6106,2.9214,0,0
Yuzvendra Chahal,3.5719,3.8353,3.8608,3.0934,3.7543,4.514,0,1
David Warner,3.9592,4.5183,4.4265,2.9332,3.7586,4.3944,1,1
Jonny Bairstow,3.4571,3.4571,3.9047,2.8904,2.5654,4.3216,1,1
Manish Pandey,2.6438,3.2691,3.6716,2.507,3.1784,3.7616,1,1
Kane Williamson,2.6994,2.6994,2.4514,2.973,3.5604,3.7214,1,1
Vijay Shankar,2.162,2.162,2.909,0.1582,2.1206,0.2566,1,0
Priyam Garg,2.313,2.313,0,2.504,1.864,3.3808,1,0
Abhishek Sharma,1.713,1.864,1.1358,1.9696,0,2.4428,1,0
Jos Buttler,3.2538,3.107,3.1398,2.6024,1.7546,2.0352,1,0
Robin Uthappa,1.411,3.3224,2.8848,1.6676,3.2768,2.8222,1,0
Sanju Samson,2.6775,2.8118,3.6239,2.5596,4.2541,2.1408,1,1
Steven Smith,2.6438,3.1921,3.0944,2.507,3.2398,1.5308,1,0
Ben Stokes,1.6802,2.3981,2.2974,0.9848,2.1278,1.0176,1,0
Riyan Parag,2.162,2.162,2.8776,1.7202,1.0116,3.3466,1,1
Rahul Tewatia,2.772,2.3458,1.9882,3.0286,3.1426,3.4976,1,1
Vijay Shankar,1.0987,1.0987,1.2048,1.2956,0.6354,1.5483,0,0
Abhishek Sharma,1.4191,1.4191,2.034,1.7194,0.6354,2.3328,0,0
Rashid Khan,2.97,2.97,3.9654,3.0934,3.2654,4.2122,0,1
Sandeep Sharma,2.3514,3.8353,2.9483,1.2471,2.246,2.8032,0,0
Khaleel Ahmed,2.3867,2.3867,3.0934,2.5245,2.5056,3.1912,0,1
T Natarajan,1.5166,1.2589,0,2.5427,0.6354,3.6322,0,0
Ben Stokes,1.8365,1.934,2.4035,0.6115,2.6547,0.5801,0,0
Riyan Parag,0.9385,0.9385,1.5317,0.6115,0.6354,0.5801,0,1
Rahul Tewatia,1.5166,2.0315,2.034,2.2158,1.2929,1.3647,0,1
Jofra Archer,2.7066,2.7066,2.9483,2.9724,2.8233,3.052,0,1
Shreyas Gopal,2.8296,2.8296,3.6626,2.0463,3.141,1.4385,0,0
Jaydev Unadkat,2.0937,3.4372,2.7063,1.5317,4.4713,2.9868,0,1
Kartik Tyagi,1.5166,0,0,1.9312,0,0,0,0
Quinton de Kock,2.6438,2.7659,3.7158,2.5596,3.0286,3.4864,1,1
Rohit Sharma,3.7509,4.0075,3.2768,2.9332,3.8142,4.001,1,0
Suryakumar Yadav,2.6438,2.4414,3.703,2.9858,3.4278,4.5782,1,1
Ishan Kishan,2.1292,2.1848,1.8186,2.9302,2.4828,2.1408,1,1
Hardik Pandya,2.5368,2.5368,4.1262,2.4484,2.5754,3.8084,1,0
Kieron Pollard,3.6202,3.6202,3.5418,3.4548,3.2738,4.2674,1,0
Krunal Pandya,2.5696,2.5696,2.641,2.5468,3.5418,2.2136,1,1
Prithvi Shaw,2.3686,2.3686,3.1784,2.658,1.8186,1.2742,1,0
Shikhar Dhawan,2.6994,3.8042,3.7714,2.7792,4.296,3.8256,1,1
Ajinkya Rahane,1.562,3.8296,3.5285,1.562,3.8142,4.0196,1,0
Shreyas Iyer,2.9232,2.9232,3.6076,3.3038,3.2212,2.3432,1,1
Alex Carey,1.0116,1.0116,0,1.0116,1.0116,1.0444,1,0
Marcus Stoinis,2.772,2.5882,3.3736,3.0842,2.2788,2.1534,1,1
Axar Patel,1.6802,1.904,2.3844,1.2868,2.2006,1.5308,1,1
Ravichandran Ashwin,0.8338,1.753,1.5632,0.8338,1.88,1.1686,1,0
Hardik Pandya,2.6148,2.3514,3.7052,0,2.6326,0,0,0
Kieron Pollard,2.7378,2.7378,0,1.7194,2.757,2.312,0,0
Krunal Pandya,2.7123,2.7123,3.5175,1.9071,3.6052,3.3095,0,1
James Pattinson,1.8718,1.8718,0,2.9724,0.6354,4.2122,0,0
Rahul Chahar,2.129,2.0315,3.3539,2.3368,2.6521,4.0731,0,0
Trent Boult,1.9693,2.8725,2.2158,3.0934,1.5551,4.0731,0,1
Jasprit Bumrah,3.2527,3.5161,4.1531,3.2916,3.6078,4.601,0,0
Marcus Stoinis,1.8718,2.057,1.5317,2.6455,3.6647,1.3647,0,1
Axar Patel,1.8713,3.5161,2.9424,2.7665,3.268,3.7713,0,1
Harshal Patel,1.6768,2.7123,1.4833,1.6225,3.4587,0.5801,0,0
Ravichandran Ashwin,1.9693,4.4603,3.5598,2.7665,3.8787,3.3303,0,1
Kagiso Rabada,2.6327,2.6327,4.0616,3.4126,3.6052,3.052,0,1
Anrich Nortje,1.6141,1.6141,0,2.6637,0.6354,1.4385,0,0
Devdutt Padikkal,2.621,2.621,0,2.9888,2.5654,0,1,1
Aaron Finch,2.0438,2.497,0,2.3004,3.3166,2.7694,1,1
AB de Villiers,4.183,4.5183,4.1904,3.4676,3.8112,1.4438,1,1
Virat Kohli,4.1977,4.1977,3.8335,3.3594,3.9519,3.3466,1,0
Washington Sundar,1.6802,1.6802,0.7354,1.562,0.4076,0,1,0
Shivam Dube,1.713,1.713,1.713,2.5468,0,0,1,0
Chris Morris,0,2.2802,1.0774,0,1.5506,0,1,0
Tom Banton,0.9848,0.9848,0,0.9848,0.9848,0,1,0
Shubman Gill,2.6766,2.6766,3.502,3.2084,2.3958,2.2048,1,1
Nitish Rana,2.2176,2.2176,3.298,2.4514,3.3908,3.4634,1,0
Eoin Morgan,2.162,2.4742,0,2.822,1.9242,3.241,1,0
Dinesh Karthik,2.7948,3.3224,3.5974,1.9268,3.1784,1.5308,1,0
Andre Russell,3.0514,3.0514,4.0364,2.1206,4.1262,1.8968,1,1
Rahul Tripathi,2.621,2.2176,2.3004,2.621,3.5604,2.782,1,1
Washington Sundar,2.0315,2.0315,2.155,2.2701,3.141,0,0,1
Shivam Dube,1.9693,1.9693,0.6115,2.155,0,0,0,0
Chris Morris,1.9693,3.1545,2.9724,2.155,4.4713,0,0,1
Isuru Udana,1.7743,1.7743,0,2.5245,2.3344,0,0,1
Navdeep Saini,1.6763,1.6763,2.8032,2.0463,2.8233,0,0,0
Mohammed Siraj,1.934,2.3147,2.4217,2.155,2.6547,0,0,1
Yuzvendra Chahal,3.5719,3.8353,3.8608,3.0934,3.7322,2.7293,0,0
Andre Russell,3.093,2.9955,3.4206,2.6455,3.4613,2.4719,0,1
Pat Cummins,0.9385,1.6763,0,1.8586,2.3149,0.8584,0,0
Kamlesh Nagarkoti,1.2589,1.2589,0,1.9071,0.6354,1.6372,0,0
Prasidh Krishna,1.7993,1.7993,2.1432,2.155,1.6106,0,0,1
Varun Chakravarthy,0,1.2589,0,0,0.6354,1.7319,0,0
Rohit Sharma,3.7509,4.0075,3.2768,1.9449,3.3452,2.0352,1,0
Quinton de Kock,2.6438,3.1921,3.7158,1.9449,2.5384,2.782,1,1
Suryakumar Yadav,2.6438,2.4742,3.703,1.9449,3.2954,3.5518,1,0
Saurabh Tiwary,2.2176,2.4742,0,1.9449,2.6596,3.09,1,1
Krunal Pandya,2.313,2.313,2.641,1.9449,2.1278,1.1686,1,0
Hardik Pandya,2.5696,2.5696,4.1262,1.9449,3.6444,1.8968,1,0
Kieron Pollard,3.194,3.194,3.5418,1.9449,3.8112,2.2776,1,0
Murali Vijay,2.789,3.0684,2.4144,1.9449,3.0702,1.2742,1,0
Shane Watson,3.0768,3.8855,3.1684,1.9449,3.1258,2.3974,1,0
Faf du Plessis,2.956,2.956,3.502,1.9449,3.0702,3.569,1,1
Ambati Rayudu,2.8799,3.2691,2.788,1.9449,3.2596,3.6018,1,1
Kedar Jadhav,2.011,2.4414,2.138,1.9449,3.0702,0,1,0
MS Dhoni,4.102,4.2076,3.9282,1.9449,3.6602,2.869,1,0
Ravindra Jadeja,2.363,2.8434,2.822,1.9449,2.6082,1.7272,1,1
Krunal Pandya,2.7123,2.7123,3.5175,1.9449,3.4587,1.7319,0,0
Hardik Pandya,2.6148,2.3514,3.7052,1.9449,3.4587,0,0,0
Kieron Pollard,2.7378,2.7378,0,1.9449,3.9476,0.5801,0,0
James Pattinson,1.6141,1.6141,0,1.9449,1.8481,2.0101,0,1
Rahul Chahar,2.129,2.0315,3.3539,1.9449,2.7544,1.7319,0,1
Trent Boult,1.7116,2.4489,0,1.9449,3.0747,2.1492,0,0
Jasprit Bumrah,3.1297,3.1297,4.1531,1.9449,3.0747,1.7319,0,0
Shane Watson,1.2589,3.5161,0,1.9449,3.9255,1.5038,0,0
Ravindra Jadeja,3.4372,3.964,3.9654,1.9449,3.5857,3.0521,0,1
Sam Curran,1.9693,1.8973,0,1.9449,1.8728,2.0101,0,1
Deepak Chahar,2.7066,2.4489,4.1531,1.9449,3.7764,2.4719,0,1
Piyush Chawla,1.4191,4.5218,0,1.9449,4.4118,3.9104,0,1
Lungisani Ngidi,2.0923,2.0923,0,1.9449,2.3344,2.4719,0,1
Shikhar Dhawan,2.6438,3.8042,3.7714,1.9449,3.3124,2.2918,1,0
Prithvi Shaw,2.2176,2.2176,3.1784,1.9449,1.8712,0.8666,1,1
Shreyas Iyer,2.9232,2.9232,3.6076,1.9449,3.7586,2.631,1,1
Rishabh Pant,3.3103,3.3103,3.9096,1.9449,2.4828,2.48,1,1
Shimron Hetmyer,0.8338,1.5848,0,1.9449,0.8338,0.8666,1,0
Marcus Stoinis,3.1982,2.5882,0,1.9449,3.4548,3.4634,1,1
Axar Patel,1.5292,1.904,2.3844,1.9449,0.9848,1.0176,1,1
Ravichandran Ashwin,0.9848,1.753,0,1.9449,2.1808,1.7004,1,1
KL Rahul,3.5455,3.6739,4.2755,1.9449,3.1156,2.7694,1,1
Mayank Agarwal,2.162,2.0152,3.0728,1.9449,2.9646,3.7528,1,1
Karun Nair,2.1948,2.5298,0.9848,1.9449,4.0792,0.8666,1,0
Nicholas Pooran,2.2574,2.2574,2.5468,1.9449,0.1582,0.2566,1,0
Sarfaraz Khan,2.621,2.313,3.3038,1.9449,1.9696,1.5948,1,0
Glenn Maxwell,2.5924,2.5924,0,1.9449,1.7416,1.2742,1,0
Krishnappa Gowtham,2.2902,1.8312,0,1.9449,2.5468,2.3558,1,0
Ravi Bishnoi,0,0,0,1.9449,0,0,1,0
Marcus Stoinis,1.9693,1.9595,0,1.9449,2.3344,2.1936,0,1
Axar Patel,1.6136,3.2527,2.9424,1.9449,2.6521,1.9447,0,1
Ravichandran Ashwin,1.9693,4.4603,0,1.9449,4.5957,3.052,0,1
Kagiso Rabada,2.5712,2.5712,4.0616,1.9449,3.2875,2.4719,0,1
Anrich Nortje,0.6808,0.6808,0,1.9449,0.6354,0.8584,0,0
Mohit Sharma,1.4191,3.4129,0,1.9449,3.3122,3.7191,0,0
Glenn Maxwell,1.2589,1.6763,0,1.9449,1.2929,0.5801,0,0
Krishnappa Gowtham,0.6808,1.5161,0,1.9449,1.2708,0.8584,0,0
Chris Jordan,0.6808,1.8973,0,1.9449,1.1685,0.8584,0,0
Sheldon Cottrell,1.9693,1.9693,0,1.9449,2.3344,2.4719,0,1
Mohammed Shami,2.2892,2.5173,3.8685,1.9449,2.9698,3.493,0,1
Ravi Bishnoi,1.7116,0,0,1.9449,0,0,0,0
David Warner,3.9592,4.5183,4.4265,1.9449,4.6831,3.8812,1,0
Jonny Bairstow,3.4015,3.4015,3.9047,1.9449,3.4343,3.4634,1,1
