,Consistency,TotalConsistency,Form,Opposition,Venue,DreamTeam
Ravindra Jadeja,3.7006,4.1299,3.9654,4.4492,4.0001
Ravisrinivasan Sai Kishore,0.0,0.0,0.0,0.0,0.0
Mitchell Santner,1.7116000000000002,1.7116000000000002,2.1732,1.7015999999999998,2.1492
Deepak Chahar,2.5464,2.7123,4.1531,2.3148999999999997,3.4277
Monu Kumar,0.6808000000000001,0.6808000000000001,0.0,0.0,0.5801000000000001
KM Asif,1.7743000000000002,1.7743000000000002,0.0,1.8949,0.0
Imran Tahir,2.4737,3.216,4.6731,4.4713,0.8584
Sunil Narine,4.2155,4.7423,2.9242000000000004,3.9008,2.5902
Pat Cummins,1.3558999999999999,2.0937,0.0,1.9283,2.1936
Andre Russell,3.093,2.9955,3.4206000000000003,2.9724,0.0
Lockie Ferguson,1.5166000000000002,1.3564,1.5317,0.0,0.0
Kamlesh Nagarkoti,1.2589,1.2589,0.0,2.1879,2.1936
Prasidh Krishna,1.7993000000000001,1.7993000000000001,2.1432,0.9531,0.0
Varun Chakravarthy,0.0,1.7986,0.0,1.8480999999999999,2.4719
Deepak Chahar,2.4489,2.7123,4.1531,3.2653999999999996,4.2358
Yuzvendra Chahal,3.5719000000000003,3.8353,3.8608000000000002,3.9008,2.7293
Isuru Udana,1.4191,1.4191,0.0,1.7015999999999998,0.0
Shane Watson,1.2589,3.5161,0.0,3.7542999999999997,3.1704
Deepak Chahar,2.4489,2.7123,4.1531,3.2653999999999996,4.2358
Piyush Chawla,1.5166000000000002,4.521800000000001,2.8032000000000004,4.4492,4.3749
Suresh Raina,2.1969000000000003,2.1969000000000003,0.6115,2.5637,3.4068
Mitchell Santner,1.7116000000000002,1.7116000000000002,2.1732,1.9945999999999997,2.7737000000000003
Shardul Thakur,2.6091,2.8725,2.4217,2.9944999999999995,2.7738
Dwayne Bravo,3.5104000000000006,4.7795,3.1119000000000003,3.5856999999999997,4.3749
Sam Curran,1.7743000000000002,2.3147,3.0496,2.8232999999999997,0.8584
Moeen Ali,1.3564,1.3564,2.476,1.1685,2.2883
Navdeep Saini,1.5161,1.5161,2.8032000000000004,1.9283,0.8584
Isuru Udana,1.4191,1.4191,0.0,1.7015999999999998,0.0
Shivam Dube,1.8718000000000004,1.8718000000000004,0.6115,0.6354,0.5801000000000001
Umesh Yadav,1.9340000000000002,3.841,2.5186,3.6078,3.105
Adam Zampa,1.0987,2.1538000000000004,0.0,0.0,0.0
Washington Sundar,1.6763000000000001,2.1912,2.1550000000000002,2.1658,0.0
Dale Steyn,2.4489,3.3931,2.1550000000000002,3.0747,3.7504
Shane Watson,1.2589,3.5161,0.0,3.7542999999999997,3.1704
Ravindra Jadeja,3.7006,4.547300000000001,3.9654,4.072,4.1183000000000005
Piyush Chawla,1.5166000000000002,2.7123,2.8032000000000004,3.2653999999999996,4.2358
Deepak Chahar,2.4489,4.521800000000001,4.1531,4.4492,4.3749
Mitchell Santner,1.7116000000000002,2.1969000000000003,2.1732,2.5637,3.4068
Suresh Raina,2.1969000000000003,1.7116000000000002,0.6115,1.9945999999999997,2.7737000000000003
Dwayne Bravo,3.5104000000000006,4.7795,3.1119000000000003,3.5856999999999997,4.3749
Sam Curran,1.7743000000000002,2.3147,3.0496,2.8232999999999997,0.8584
Isuru Udana,1.4191,1.4191,0.0,1.7015999999999998,0.0
Dale Steyn,2.4489,3.3931,2.1550000000000002,3.0747,3.7504
Shivam Dube,1.8718000000000004,0.0,0.6115,0.0,0.0
Washington Sundar,1.6763000000000001,3.841,2.1550000000000002,3.6078,3.105
Pavan Deshpande,0.0,2.1912,0.0,2.1658,0.0
Adam Zampa,1.0987,0.0,0.0,0.0,0.0
Umesh Yadav,1.9340000000000002,2.1538000000000004,2.5186,0.0,0.0
Harbhajan Singh,2.1917,0.0,3.378,0.0,0.0
Shane Watson,1.2589,4.583300000000001,0.0,4.2185,4.3749
Deepak Chahar,2.4489,2.7123,4.1531,3.2653999999999996,4.2358
Piyush Chawla,1.5166000000000002,4.521800000000001,2.8032000000000004,4.4492,4.3749
Monu Kumar,0.6808000000000001,0.6808000000000001,0.0,0.6354,0.0
Josh Hazlewood,0.9385000000000001,0.9385000000000001,0.0,0.0,0.0
Sam Curran,1.7743000000000002,2.3147,3.0496,2.8232999999999997,0.8584
Yuzvendra Chahal,3.5719000000000003,0.0,3.8608000000000002,0.0,0.0
Washington Sundar,1.6763000000000001,0.0,2.1550000000000002,0.0,0.0
Pavan Deshpande,0.0,1.8718000000000004,0.0,0.6354,0.5801000000000001
Kane Richardson,1.9693000000000003,1.9693000000000003,0.0,0.6354,0.0
Shahbaz Ahmed,1.8718000000000004,0.0,0.0,0.0,0.0
Shivam Dube,1.8718000000000004,2.2892,0.6115,1.5551,0.0
Shane Watson,1.2589,3.5161,0.0,4.0941,4.2122
Harbhajan Singh,2.1917,4.583300000000001,3.378,4.3896999999999995,3.9131
Ravindra Jadeja,3.7006,4.547300000000001,3.9654,3.5856999999999997,3.7713
Suresh Raina,2.1969000000000003,2.1969000000000003,0.6115,2.4393,0.8584
Mitchell Santner,1.7116000000000002,1.7116000000000002,2.1732,0.0,0.0
Dwayne Bravo,3.5104000000000006,0.6808000000000001,3.1119000000000003,0.0,0.0
Sam Curran,1.7743000000000002,4.7795,3.0496,4.935499999999999,4.601
Karn Sharma,1.7743000000000002,0.9385000000000001,1.792,0.0,0.0
Josh Hazlewood,0.9385000000000001,2.3147,0.0,0.6354,4.4619
Chris Jordan,1.5166000000000002,0.9385000000000001,0.0,1.2929,0.5801000000000001
James Neesham,0.9385000000000001,2.3147,0.0,1.1685,1.4385
Ravi Bishnoi,1.7738000000000003,1.0987,0.0,0.6354,0.5801000000000001
Mohammed Shami,2.7066000000000003,0.0,3.8685,0.0,0.0
Murugan Ashwin,1.7738000000000003,1.5161,2.1432,2.3148999999999997,1.7319
Hardus Viljoen,1.6768000000000003,2.3514,2.4035,1.9283,3.6113
Ravindra Jadeja,3.7006,4.547300000000001,3.9654,3.5856999999999997,3.9131
Deepak Chahar,2.4489,2.7123,4.1531,3.9475999999999996,3.1259
Piyush Chawla,1.5166000000000002,4.521800000000001,2.8032000000000004,4.4117999999999995,3.105
Suresh Raina,2.1969000000000003,2.1969000000000003,0.6115,2.4393,0.5801000000000001
Mitchell Santner,1.7116000000000002,1.7116000000000002,2.1732,2.3344,0.0
Shardul Thakur,2.6091,0.6808000000000001,2.4217,0.0,0.0
Dwayne Bravo,3.5104000000000006,4.7795,3.1119000000000003,4.935499999999999,4.3749
Nathan Coulter-Nile,1.0987,2.8296,0.0,2.6521,2.4719
Jayant Yadav,0.9385000000000001,2.9955,0.9202,4.1315,2.8032
Kieron Pollard,2.7378,0.9385000000000001,0.0,2.3344,0.0
Lasith Malinga,4.4732,0.6808000000000001,3.8196000000000003,0.0,0.0
Rahul Chahar,2.4489,2.4545999999999997,3.3539000000000003,3.4587,4.0522
Hardik Pandya,2.6148,2.7378,3.7052,3.7542999999999997,4.3019
Krunal Pandya,2.4545999999999997,0.0,3.5175,0.0,0.0
Trent Boult,2.5097000000000005,2.3514,2.2158,3.4587,4.2358
Ravindra Jadeja,3.7006,4.547300000000001,3.9654,3.5856999999999997,3.9131
Deepak Chahar,2.4489,2.7123,4.1531,3.9475999999999996,3.1259
Piyush Chawla,1.5166000000000002,4.521800000000001,2.8032000000000004,4.4117999999999995,3.105
Suresh Raina,2.1969000000000003,2.1969000000000003,0.6115,2.4393,0.5801000000000001
Mitchell Santner,1.7116000000000002,1.7116000000000002,2.1732,2.3344,0.0
Shardul Thakur,2.6091,0.6808000000000001,2.4217,0.0,0.0
Dwayne Bravo,3.5104000000000006,4.7795,3.1119000000000003,4.935499999999999,4.3749
Nathan Coulter-Nile,1.0987,2.8296,0.0,2.6521,2.4719
Jayant Yadav,0.9385000000000001,2.9955,0.9202,4.1315,2.8032
Kieron Pollard,2.7378,0.9385000000000001,0.0,2.3344,0.0
Lasith Malinga,4.4732,0.6808000000000001,3.8196000000000003,0.0,0.0
Rahul Chahar,2.4489,2.4545999999999997,3.3539000000000003,3.4587,4.0522
Hardik Pandya,2.6148,2.7378,3.7052,3.7542999999999997,4.3019
Krunal Pandya,2.4545999999999997,0.0,3.5175,0.0,0.0
Trent Boult,2.5097000000000005,2.3514,2.2158,3.4587,4.2358
Lungisani Ngidi,2.0923000000000003,2.0923000000000003,0.0,2.3344,2.7293
Harbhajan Singh,2.1917,4.583300000000001,3.378,1.9283,4.5801
Deepak Chahar,2.4489,2.7123,4.1531,3.9475999999999996,3.1259
Piyush Chawla,1.5166000000000002,4.521800000000001,2.8032000000000004,4.4117999999999995,3.105
Suresh Raina,2.1969000000000003,0.0,0.6115,0.0,0.0
Shardul Thakur,2.6091,2.8725,2.4217,2.6326,3.4722
Dwayne Bravo,3.5104000000000006,4.7795,3.1119000000000003,4.935499999999999,4.3749
Nathan Coulter-Nile,1.0987,3.8353,0.0,3.268,4.0522
Dhawal Kulkarni,2.7066000000000003,3.2527,2.3309,3.7763999999999998,4.514
Trent Boult,2.5097000000000005,2.8296,2.2158,2.6521,2.4719
Jasprit Bumrah,3.5719000000000003,2.9955,4.1531,4.1315,2.8032
Kieron Pollard,2.7378,2.4545999999999997,0.0,3.4587,4.0522
Krunal Pandya,2.4545999999999997,2.7378,3.5175,3.7542999999999997,4.3019
Mitchell McClenaghan,2.9955,2.9955,1.7194,3.4587,4.7637
Shane Watson,1.2589,0.0,0.0,0.0,0.0
Harbhajan Singh,2.1917,4.583300000000001,3.378,4.2185,4.3749
Ravindra Jadeja,3.7006,0.6808000000000001,3.9654,0.0,0.0
Piyush Chawla,1.5166000000000002,0.0,2.8032000000000004,0.0,0.0
Deepak Chahar,2.4489,4.547300000000001,4.1531,4.072,4.1183000000000005
Mitchell Santner,1.7116000000000002,1.7116000000000002,2.1732,1.9945999999999997,2.7737000000000003
Shardul Thakur,2.6091,2.8725,2.4217,2.9944999999999995,2.7738
Yuzvendra Chahal,3.5719000000000003,0.0,3.8608000000000002,0.0,0.0
Navdeep Saini,1.5161,1.5161,2.8032000000000004,1.9283,0.8584
Isuru Udana,1.4191,1.4191,0.0,1.7015999999999998,0.0
Shivam Dube,1.8718000000000004,1.8718000000000004,0.6115,0.6354,0.5801000000000001
Umesh Yadav,1.9340000000000002,3.841,2.5186,3.6078,3.105
Washington Sundar,1.6763000000000001,2.1912,2.1550000000000002,2.1658,0.0
Kane Richardson,1.9693000000000003,0.0,0.0,0.0,0.0
Pavan Deshpande,0.0,2.2892,0.0,1.5551,0.0
Deepak Chahar,2.4489,2.7123,4.1531,3.2653999999999996,4.2358
Josh Hazlewood,0.9385000000000001,0.9385000000000001,0.0,0.0,0.0
Karn Sharma,1.7743000000000002,2.8968,1.792,2.9724,1.4385
Mitchell Santner,1.7116000000000002,1.7116000000000002,2.1732,1.9945999999999997,2.7737000000000003
Piyush Chawla,1.5166000000000002,4.521800000000001,2.8032000000000004,4.4492,4.3749
Ravindra Jadeja,3.7006,4.547300000000001,3.9654,4.072,4.1183000000000005
Sam Curran,1.7743000000000002,2.3147,3.0496,2.8232999999999997,0.8584
Shane Watson,1.2589,3.5161,0.0,3.7542999999999997,3.1704
Suresh Raina,2.1969000000000003,2.1969000000000003,0.6115,2.5637,3.4068
Adam Zampa,1.0987,2.1538000000000004,0.0,0.0,0.0
Dale Steyn,2.4489,3.3931,2.1550000000000002,3.0747,3.7504
Isuru Udana,1.4191,1.4191,0.0,1.7015999999999998,0.0
Kane Richardson,1.9693000000000003,2.2892,0.0,1.5551,0.0
Pawan Negi,1.9693000000000003,2.5719000000000003,1.9312,1.8728,2.6196
Shivam Dube,1.8718000000000004,1.8718000000000004,0.6115,0.6354,0.5801000000000001
Umesh Yadav,1.9340000000000002,3.841,2.5186,3.6078,3.105
Yuzvendra Chahal,3.5719000000000003,3.8353,3.8608000000000002,3.9008,2.7293
Harbhajan Singh,2.1917,4.583300000000001,3.378,4.2185,4.3749
Ravindra Jadeja,3.7006,4.547300000000001,3.9654,4.072,4.1183000000000005
Navdeep Saini,1.5161,1.5161,2.8032000000000004,1.9283,0.8584
Yuzvendra Chahal,3.5719000000000003,3.8353,3.8608000000000002,3.9008,2.7293
