,Consistency,TotalConsistency,Form,Opposition,Venue,BatBowl,DreamTeam
Murali Vijay,2.789,3.0684,2.4144,3.8407,2.5998,1,0
Shane Watson,3.0768,3.8855,3.1684,3.3673,3.72,1,1
Faf du Plessis,2.956,2.956,3.502,3.4464,3.3266,1,1
Ruturaj Gaikwad,0.2238,0.2238,0,0.1582,0.2566,1,0
MS Dhoni,4.102,4.2076,3.9282,4.0308,1.1828,1,1
Kedar Jadhav,2.011,2.4414,2.138,2.4828,2.8876,1,1
Ravindra Jadeja,2.363,2.8434,2.822,3.3424,1.2742,1,0
Sam Curran,1.864,2.313,2.504,1.864,1.8968,1,1
Riyan Parag,0.9385,0.9385,1.5317,0.6354,0,0,0
Shreyas Gopal,2.5097,2.9271,3.6626,2.8012,1.7319,0,0
Tom Curran,1.4191,1.8718,0,2.2126,1.7319,0,1
Jofra Archer,2.2892,2.2892,2.9483,3.2875,2.0101,0,1
Jaydev Unadkat,1.6763,3.5974,2.7063,3.0747,2.312,0,0
Shane Watson,1.2589,3.5161,0,1.9946,0,0,0
Ravindra Jadeja,3.4372,3.964,3.9654,4.5656,1.4385,0,0
Sam Curran,1.9693,1.8973,3.0496,2.6521,2.4719,0,1
Deepak Chahar,2.7066,2.4489,4.1531,3.2875,1.871,0,1
Piyush Chawla,1.4191,4.5218,2.8032,4.4118,1.7319,0,0
Lungisani Ngidi,2.0923,2.0923,0,1.5551,1.7319,0,0
Sunil Narine,2.1106,2.1106,2.1206,1.6562,1.5308,1,0
Shubman Gill,2.6766,2.6766,3.502,2.4514,1.0176,1,0
Nitish Rana,2.2176,2.2176,3.298,2.3958,2.2048,1,0
Eoin Morgan,2.162,2.2176,0,1.9242,1.4438,1,1
Andre Russell,2.7948,3.0514,4.0364,3.0172,1.5948,1,0
Dinesh Karthik,3.2538,3.3224,3.5974,3.2212,2.3104,1,1
Nikhil Naik,0.8338,0.9848,0.8338,0.8338,0.8666,1,0
Shivam Mavi,0.952,0.952,0,0.9848,1.0176,1,0
Rohit Sharma,3.7509,4.0075,3.2768,4.4009,3.5832,1,1
Quinton de Kock,2.6438,2.7659,3.7158,2.2334,2.1862,1,0
Suryakumar Yadav,2.6438,2.4742,3.703,3.7114,3.8412,1,1
Saurabh Tiwary,2.2176,2.4742,0,3.0702,3.0714,1,0
Kieron Pollard,3.194,3.194,3.5418,3.2212,3.1114,1,1
Hardik Pandya,2.5696,2.5696,4.1262,4.0236,2.0024,1,0
Krunal Pandya,2.5696,2.5696,2.641,3.06,1.2742,1,0
Sunil Narine,3.7981,4.0615,2.9242,4.8833,4.601,0,0
Andre Russell,3.093,2.9955,3.4206,3.268,2.1936,0,0
Pat Cummins,0.9385,1.934,0,1.8039,0.5801,0,1
Kuldeep Yadav,2.4744,2.4744,1.8586,2.246,0.8584,0,0
Sandeep Warrier,0.9385,0.9385,1.4348,1.2708,0.5801,0,0
Shivam Mavi,1.2589,1.2589,0,2.3344,2.4719,0,1
Kieron Pollard,2.7378,2.7378,0,2.6326,1.3647,0,1
Hardik Pandya,2.6148,2.3514,3.7052,3.6052,0,0,0
Krunal Pandya,2.7123,2.7123,3.5175,3.2433,1.3647,0,0
Rahul Chahar,2.129,2.129,3.3539,2.2126,2.9129,0,1
